Country Name,Continent,2018,2019,2020,2021,2022
United States,North America,20544343456789,21380976315000,20893746000000,22996100000000,25462700000000
China,Asia,13894820000000,14279940000000,14722730000000,17734070000000,17963170000000
Japan,Asia,4970916000000,5081770000000,5048690000000,4937420000000,4231141000000
Germany,Europe,3996759000000,3888569000000,3846414000000,4259935000000,4072192000000
India,Asia,2713165000000,2835606000000,2671595000000,3173398000000,3385090000000
United Kingdom,Europe,2855297000000,2827113000000,2707744000000,3186860000000,3070668000000
France,Europe,2777535000000,2715518000000,2630318000000,2957880000000,2782905000000
Brazil,South America,1885482000000,1876843000000,1444733000000,1608981000000,1920096000000
Italy,Europe,2083864000000,2004905000000,1888709000000,2107702000000,2010432000000
Canada,North America,1713342000000,1736426000000,1643408000000,1988336000000,2139840000000
South Korea,Asia,1720489000000,1651424000000,1637896000000,1810966000000,1665246000000
Russia,Europe,1657554647992,1687454439074,1483497784867,1775799568597,2240422449185
Spain,Europe,1426189096081,1393351132444,1281484640040,1425865169004,1397508756105
Australia,Oceania,1432195000000,1396568000000,1330900000000,1552665000000,1675419000000
Mexico,North America,1222045000000,1258286000000,1076163000000,1272841000000,1414187000000
Indonesia,Asia,1042271532960,1119099868265,1058423838270,1186092991320,1319100220407
Netherlands,Europe,912837429293,902355182013,912929435848,1012598242142,991114736480
Saudi Arabia,Asia,786521831158,792966838273,700117988159,833540763381,1108588058907
Turkey,Asia,771350471257,761424857613,719954824608,819039139429,905986603285
Switzerland,Europe,705500237013,715372084550,752248285734,812866814083,818408182254
Poland,Europe,586015185873,595223651875,596624425716,679444516749,688176053206
Argentina,South America,517815000000,445469000000,383067000000,487227000000,630698000000
Sweden,Europe,551031603919,530832706537,541220501161,635664473132,585938068610
Belgium,Europe,531767263069,519620749969,515328893687,578604199146,578604199146
Thailand,Asia,504993382205,543548915107,501712478227,505982924806,495339673112
Austria,Europe,455736417217,447717961485,433258066252,476283663950,470938279275
Nigeria,Africa,397270000000,448120000000,432294000000,440834000000,477386000000
Iran,Asia,454043021873,445345359643,191721439266,359713198267,388544406876
Norway,Europe,434750213736,403337039327,362167558630,482169430367,579267735133
United Arab Emirates,Asia,414179398361,421142267209,358869156118,415153848816,507537516628
Ireland,Europe,385234995652,398476171071,425888966553,504182980674,545629499564
Israel,Europe,370589518555,394650564525,407103327430,481591127273,522032065473
Malaysia,Asia,354348335452,364681255138,336330316299,372698722917,406319345799
Singapore,Asia,373907586476,372062472339,339998344860,396986785173,466788535345
Philippines,Asia,346841881541,376795969917,361489387493,393983882865,404284322835
